date,agency,subject,message,station,cause
11/27/22 1:17 AM,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we request FDNY assistance for a report of a track fire at 3 Av-149 St.,3 Av-149 St,FDNY assistance
11/26/22 10:43 PM,NYC,"BX, 2 Train, Delays",Southbound 2 trains are delayed while we investigate why a train's brakes were activated near E 180 St.,E 180 St,brake
11/26/22 10:38 PM,NYC,"MANH, D Train, Delays",Northbound D trains are delayed while we request EMS for a person in need of assistance at 7 Av.,7 Av,EMS
11/26/22 10:32 PM,NYC,"MANH, D Train, Delays",Southbound D trains are running with delays after we removed a vandalized train from service at 145 St.,145 St,vandalized
11/26/22 10:27 PM,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we conduct an investigation at 145 St.,145 St,investigation
11/26/22 10:24 PM,NYC,"SIR Train, Boarding Change","On Sunday, November 27th from 7AM-7PM SIR trains from Jefferson Av to Old Town will board at the Tottenville-bound platform. Boarding change included Jefferson Av, Dongan Hills, and Old Town stations. What's Happening? Scheduled Maintenance",the Tottenville-bound platform,
11/26/22 7:55 PM,NYC,"MANH, A and C Trains, Delays",Southbound A/C trains are delayed while EMS responds to someone in need at 168 St.,168 St,EMS
11/26/22 6:49 PM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are running with delays after EMS responded to a customer in need at Christopher St-Sheridan Sq.,Christopher St-Sheridan Sq,EMS
11/26/22 6:32 PM,NYC,"MANH, 7 Train, Delays",7 trains are running with delays in both directions after we removed a train from service that had a mechanical problem at Times Sq-42 St.,Times Sq-42 St,mechanical problem
11/26/22 5:37 PM,NYC,"BKLYN, F Train, Local to Express","Northbound F trains are running express from Kings Hwy to Ditmas Av while we investigate why a train's brakes were activated near Bay Pkwy. For service to/from bypassed stations, take a southbound train.",Bay Pkwy,brake
11/26/22 5:31 PM,NYC,"QNS, E, F, and R Trains, Delays",Southbound E/F/R trains are delayed while we investigate a signal problem near 36 St.,36 St,signal
11/26/22 5:18 PM,NYC,"BKLYN, A, C, E, and F Trains, Multiple Changes",A/C trains via the F line from W 4 St to Jay St-MetroTech in both directions. Southbound E trains are express from 42 St to Canal St. A/C/E trains are delayed while FDNY respond to a report of smoke at Fulton St. You may experience delays F train service as they share tracks with these rerouted trains.,Fulton St,smoke
11/26/22 4:35 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while EMS responds to a customer in need on a train at 135 St. Some southbound 2 trains will run on the 5 line from 149 St-Grand Concourse to Nevins St.,135 St,EMS
11/26/22 3:54 PM,NYC,"MANH, A Train, Express to Local",Northbound A trains are running on the local track from Canal St to 59 St-Columbus Circle while we address a switch problem near 59 St-Columbus Circle.,59 St-Columbus Circle,switch
11/26/22 3:14 PM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we remove a vandalized train from service at W 8 St-NY Aquarium. Some northbound Q trains will run on the N line from Coney Island-Stillwell Av to DeKalb Av.,W 8 St-NY Aquarium,vandalized
11/26/22 3:10 PM,NYC,"MANH, D Train, Delays",Northbound D trains are running with delays after we moved a train that had it's brakes activated near 7 Av.,7 Av,brake
11/26/22 1:14 PM,NYC,"QNS, F Train, Delays",Northbound F trains are delayed while we request EMS assistance for a person in need on a train at Parsons Blvd.,Parsons Blvd,EMS
11/26/22 1:12 PM,NYC,"BX, 6 Train, Delays",Southbound 6 trains are delayed while we remove a train with a mechanical problem from service at Parkchester.,Parkchester,remove a train
11/26/22 12:33 PM,NYC,"BKLYN, 2, 3, and 4 Trains, Delays",Southbound 2/3/4 trains are delayed while we investigate what activated a train's brakes near Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,brake
11/26/22 10:44 AM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we remove a train in need of cleaning from service at 72 St.,72 St,remove a train
11/26/22 9:35 AM,NYC,"BKLYN, L Train, Part Suspended","There is no L service between Lorimer St and Myrtle-Wyckoff Avs while our crews secure low-hanging wires over the tracks near Graham Av. As an alternative, consider taking local B24, B57, B60 or Q54 buses to/from nearby G train stations. For service between DeKalb Av and Myrtle-Wyckoff Avs, consider using the B13 bus.",Graham Av,low-hanging wires
11/26/22 8:55 AM,NYC,"BKLYN, L Train, Part Suspended",There is no L service between Lorimer St and Myrtle-Wyckoff Avs while we our crews secure low-hanging wires over the tracks near Graham Av.,Graham Av,low-hanging wires
11/26/22 8:51 AM,NYC,"BKLYN, Q Train, Delays",Southbound Q trains are delayed while we remove a vandalized train car from service at Parkside Av.,Parkside Av,vandalized
11/26/22 8:49 AM,NYC,"MANH, D Train, Express to Local",D trains are running on the local track in both directions between W 4 St-Wash Sq and 34 St-Herald Sq while FDNY responds to a report of smoke in the area.,area,smoke
11/26/22 8:40 AM,NYC,"BKLYN, L Train, Delays",Canarsie-bound L trains are delayed while we investigate what caused a train's brakes to activate near Graham Av.,Graham Av,brake
11/26/22 8:21 AM,NYC,"MANH, A Train, Delays",Southbound A trains are delayed while we troubleshoot a switch problem near 168 St.,168 St,switch
11/26/22 7:51 AM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are running with delays after NYPD removed a person being disruptive from a train at 7 Av.,7 Av,disruptive
11/26/22 7:42 AM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we troubleshoot a mechanical problem on a train at 135 St.,135 St,mechanical problem
11/26/22 7:31 AM,NYC,"BKLYN, 3 and 4 Trains, Delays",3/4 trains are delayed in both directions while we request EMS assistance for a person in need at Crown Hts-Utica Av.,Crown Hts-Utica Av,EMS
11/26/22 7:01 AM,NYC,"SI, SIR Train, Boarding Change",St George-bound SIR trains will board from the Tottenville-bound platform at Arthur Kill and Richmond Valley. We are addressing a signal problem near Tottenville.,Arthur Kill and Richmond Valley,signal
11/26/22 6:28 AM,NYC,"BKLYN, A Train, Delays",Northbound A trains are delayed while we remove a train with a mechanical problem from service at Euclid Av.,Euclid Av,remove a train
11/26/22 6:20 AM,NYC,"MANH, 1 and 2 Trains, Local to Express","Northbound 1/2 trains are running express from 72 St to 96 St while EMS responds to a person in need on a train at 96 St. For service to/from 79 St and 86 St, take a southbound 1/2 train.",96 St,EMS
11/26/22 4:56 AM,NYC,"MANH, 2 Train, Local to Express","Northbound 2 trains are running on the express track from Chambers St to 14 St while we investigate why a train's brakes were activated near Chambers St. For service to/from bypassed stations, take a southbound 1 train.",Chambers St,brake
11/26/22 4:30 AM,NYC,"MANH, 2 Train, Delays",Northbound 2 trains are running with delays after we moved a train that had its brakes activated near Chambers St. Northbound 2 trains have resumed making locals stops from Chambers St to 14 St.,Chambers St,brake
11/26/22 4:23 AM,NYC,"MANH, 2 Train, Local to Express","Northbound 2 trains are running on the express track from Chambers St to 14 St while we investigate why a train's brakes were activated near Chambers St. For service to/from bypassed stations, take a southbound 1 train.",Chambers St,brake
11/26/22 3:27 AM,NYC,"MANH, D Train, Delays",Northbound D trains are delayed while we request NYPD assistance for someone being disruptive on a train at 59 St-Columbus Circle.,59 St-Columbus Circle,disruptive
11/26/22 3:08 AM,NYC,"BKLYN, MANH, L Train, Boarding Change","Canarsie-Rockaway Pkwy-bound L trains will arrive on the 8 Av-bound track at 3 Av, 1 Av, and Bedford Av. We are conducting signal maintenance in the Canarsie tube.","3 Av, 1 Av, and Bedford Av",signal
11/26/22 2:58 AM,NYC,"BKLYN, A Train, Delays",Northbound A trains are delayed while we request EMS for an injured passenger at Shepherd Av.,Shepherd Av,EMS
11/26/22 2:46 AM,NYC,"BX, 6 Train, Delays",Southbound 6 trains are delayed while we request NYPD for a person being disruptive aboard a train at Pelham Bay Park.,Pelham Bay Park,disruptive
11/26/22 2:24 AM,NYC,"BKLYN, Q Train, Delays",Southbound Q trains are delayed while we investigate why a train's brakes were activated at Newkirk Plaza.,Newkirk Plaza,brake
11/26/22 1:46 AM,NYC,"BKLYN, A Train, Delays",Northbound A trains are delayed while we address a signal malfunction at Lafayette Av.,Lafayette Av,signal
11/26/22 1:24 AM,NYC,"MANH, A and E Trains, Delays",Southbound A/E trains are running with delays after we moved a train that had its brakes activated near 23 St.,23 St,brake
11/26/22 1:07 AM,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are running with delays after we requested EMS assistance for a person in need at South Ferry.,South Ferry,EMS
11/26/22 12:11 AM,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while we request EMS for someone in need of assistance on a train at 59 St.,59 St,EMS
11/26/22 12:07 AM,NYC,"SI, SIR Train, Boarding Change","On Saturday, November 26th from 7AM-7PM SIR trains from Jefferson Av to Old Town will board at the Tottenville-bound platform. Boarding change includes Jefferson Av, Dongan Hills, and Old Town stations. What's Happening? Scheduled maintenance",the Tottenville-bound platform,maintenance
11/26/22 12:07 AM,NYC,"BKLYN, 2 Train, Delays",Northbound 2 trains are delayed while we remove a train car in need of cleaning from service at Newkirk Av-Little Haiti.,Newkirk Av-Little Haiti,remove a train
11/25/22 11:53 PM,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we request NYPD assistance for someone being disruptive on a train at 14 St-Union Sq.,14 St-Union Sq,disruptive
11/25/22 11:35 PM,NYC,"SI, SIR Train, Delays",SIR trains are running with delays in both directions after we removed a tree from the tracks near Dongan Hills.,Dongan Hills,tree
11/25/22 11:30 PM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we request NYPD assistance for a person being disruptive on a train at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,disruptive
11/25/22 11:17 PM,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train car in need of cleaning from service at Brooklyn Bridge-City Hall.,Brooklyn Bridge-City Hall,remove a train
11/25/22 10:04 PM,NYC,"MANH, A Train, Delays",Northbound A trains are delayed while we investigate what caused a train's brakes to be activated at 168 St.,168 St,brake
11/25/22 10:04 PM,NYC,"MANH, C Train, Delays",Southbound C trains are running with delays after we addressed a mechanical problem on a train at 145 St.,145 St,mechanical problem
11/25/22 7:42 PM,NYC,"BKLYN, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate why a train's brakes activated at Winthrop St.,Winthrop St,brake
11/25/22 6:49 PM,NYC,"SI, SIR Train, Trip not running.",The 7:31 PM SIR trip from St George to Tottenville will not run. The 7:33 PM SIR trip from St George to Tottenville will instead make all local stops. We are running as much service as we can with the train crews we have available.,,
11/25/22 5:59 PM,NYC,"BX, 2 and 5 Trains, Local to Express","Northbound 2/5 trains are running express from 3 Av-149 St to E 180 St. If your stop is skipped, take a southbound train. NYPD is responding to a passenger being disruptive at Jackson Av.",Jackson Av,disruptive
11/25/22 4:55 PM,NYC,"QNS, F Train, Delays",Southbound F trains are running with delays after we removed a train with a mechanical problem from service at Parsons Blvd.,Parsons Blvd,mechanical problem
11/25/22 4:51 PM,NYC,"BKLYN, Franklin Av S Train, Delays","There is limited FS trains service in both directions while our crews address a switch malfunction at Botanic Garden. As an alternative, consider taking a B48 or B49 bus.",Botanic Garden,switch
11/25/22 3:58 PM,NYC,"BKLYN, F Train, Delays",Southbound F trains are running with delays with after we removed a train with a mechanical problem from service at Avenue U.,Avenue U,mechanical problem
11/25/22 3:48 PM,NYC,"BKLYN, N and R Trains, Delays",Northbound N/R trains are delayed while we investigate why a train's brakes were activated at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,brake
11/25/22 3:08 PM,NYC,"BKLYN, Franklin Av S Train, Delays",FS trains are delayed in both directions while our crews address a switch malfunction at Botanic Garden.,Botanic Garden,switch
11/25/22 2:05 PM,NYC,"MANH, A Train, Delays",A trains are delayed in both directions while we work to move a work train with a mechanical problem near Dyckman St.,Dyckman St,mechanical problem
11/25/22 1:20 PM,NYC,"BKLYN, C Train, Delays",Northbound C trains are running with delays after we requested EMS assistance for a person in need at Franklin Av.,Franklin Av,EMS
11/25/22 1:14 PM,NYC,"MANH, 3 Train, Delays",3 trains are delayed entering and leaving Harlem-148 St while we request NYPD assistance with a person being disruptive on a train at that station.,Harlem-148 St while we request NYPD assistance with a person being disruptive on a train at that station,disruptive
11/25/22 12:55 PM,NYC,"MANH, 4, 5, and 6 Trains, Delays",Northbound 4/5/6 trains are running with delays after EMS assisted a person in need at Grand Central-42 St. Northbound 4/5 trains have resumed making express stops from 14 St-Union Sq to 125 St.,Grand Central-42 St,EMS
11/25/22 12:33 PM,NYC,"MANH, 4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while we request EMS assistance with a person in need at Grand Central-42 St.,Grand Central-42 St,EMS
11/25/22 12:31 PM,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we remove a train with a mechanical problem from service at 72 St.,72 St,remove a train
11/25/22 11:47 AM,NYC,"MANH, A, C, and E Trains, Multiple Changes","Northbound A trains are running on the local track from Canal St to 59 St-Columbus Circle while NYPD responds to a person being disruptive at W 4 St-Wash Sq At 34 St-Penn Station, northbound A trains will arrive on the local platform. You may wait longer for a northbound C/E train while they share the tracks with rerouted trains.","W 4 St-Wash Sq At 34 St-Penn Station, northbound A trains will arrive on the local platform",disruptive
11/25/22 11:20 AM,NYC,"BKLYN, F and G Trains, Delays",Southbound F/G trains are delayed while we troubleshoot a door problem on a train at Bergen St.,Bergen St,door
11/25/22 10:34 AM,NYC,"MANH, A and C Trains, Delays",Southbound A/C trains are delayed while we investigate what activated a train's brakes at Fulton St.,Fulton St,brake
11/25/22 10:27 AM,NYC,"BKLYN, MANH, L Train, Delays",Limited L service between Myrtle-Wyckoff Avs and Canarsie. 8 Av-bound trains end at Wilson Av. Canarsie-bound L trains end at Lorimer St. What's Happening: We're troubleshooting a mechanical problem on a train after the train's brakes were activated at Morgan Av and Halsey St.,Wilson Av,mechanical problem
11/25/22 10:09 AM,NYC,"BX, 1 Train, Delays",1 trains are delayed in both directions while we troubleshoot a mechanical problem on a train at 238 St.,238 St,mechanical problem
11/25/22 10:04 AM,NYC,"MANH, B and C Trains, Delays",Northbound B/C trains are delayed while we remove a train from service to request EMS assistance for the train crew at 125 St.,125 St,remove a train
11/25/22 9:59 AM,NYC,"MANH, B and C Trains, Delays",Northbound B/C trains are running with delays after NYPD completed an investigation at 135 St. Northbound B/C trains have resumed making stops at 135 St.,135 St,investigation
11/25/22 9:49 AM,NYC,"BKLYN, L Train, Delays",Canarsie-bound L trains are delayed while we investigate what caused a train's brakes to activate near Morgan Av.,Morgan Av,brake
11/25/22 9:45 AM,NYC,"MANH, A, B, C, and D Trains, Multiple Changes","Northbound B/C trains are running express from 125 St to 145 St while NYPD conducts an investigation at 135 St. For service to/from 135 St, take a southbound B/C train. You may wait longer for a northbound A/D train while they share the track with rerouted trains.",135 St,investigation
11/25/22 9:03 AM,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we address a signal problem at Fulton St.,Fulton St,signal
11/25/22 7:50 AM,NYC,"BKLYN, N Train, Delays",Northbound N trains are running with delays after we addressed a signal problem near DeKalb Av. Northbound N trains have resumed making regular stops from DeKalb Av to Canal St.,DeKalb Av,signal
11/25/22 7:27 AM,NYC,"QNS, 7 Train, Delays",Flushing-bound 7 trains are delayed while we address a mechanical problem on a train at Queensboro Plaza.,Queensboro Plaza,mechanical problem
11/25/22 7:06 AM,NYC,"BKLYN, MANH, N and R Trains, Multiple Changes","Northbound N trains are running via the R line from DeKalb Av to Canal St while we address a signal problem near DeKalb Av. You may wait longer for a northbound R train while they share the track with rerouted trains. At Canal St, northbound N trains will arrive on the upper level R platform.",DeKalb Av,signal
11/25/22 6:56 AM,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we address a signal problem near Jackson Av.,Jackson Av,signal
11/25/22 3:37 AM,NYC,"MANH, A Train, Delays",Northbound A trains are delayed while we request NYPD assistance with people being disruptive on a train at Fulton St.,Fulton St,disruptive
11/25/22 3:17 AM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we investigate what caused a train's brakes to activate near 215 St.,215 St,brake
11/25/22 2:35 AM,NYC,"MANH, 4 and 6 Trains, Delays",Southbound 4/6 trains are running with delays after we removed a train car in need of cleaning from service at Grand Central-42 St.,Grand Central-42 St,cleaning
11/25/22 1:26 AM,NYC,"MANH, J Train, Part Suspended","There are no J trains between Essex St and Broad St in both directions. Manhattan-bound J trains will end at Essex St. We are investigating a temporary loss of third-rail power between Delancey St-Essex St and Chambers St. As an alternative, consider 2/4/A/F/N/Q service. If there is no service at your station, see a station agent for a courtesy pass to continue service to your destination.",Essex St,rail
11/25/22 1:14 AM,NYC,"QNS, E Train, Delays",Southbound E trains are delayed while FDNY responds to a track fire at Sutphin Blvd-Archer Av-JFK Airport.,Sutphin Blvd-Archer Av-JFK Airport,fire
11/25/22 12:51 AM,NYC,"MANH, J Train, Delays",J trains are delayed in both directions while we investigate a temporary loss of third-rail power between Delancey St-Essex St and Chambers St.,Delancey St-Essex St and Chambers St,rail
11/25/22 12:40 AM,NYC,"MANH, N and Q Trains, Delays",Southbound N/Q trains are delayed while we request NYPD for a person being disruptive aboard a train at 14 St-Union Sq.,14 St-Union Sq,disruptive
11/25/22 12:14 AM,NYC,"MANH, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we investigate why a train's brakes were activated at 96 St.,96 St,brake
11/24/22 11:35 PM,NYC,"MANH, A Train, Delays",Southbound A trains are delayed while we request NYPD for a person being disruptive aboard a train at 103 St.,103 St,disruptive
11/24/22 11:32 PM,NYC,"BX, D Train, Delays",Northbound D trains are delayed while we investigate why a train's brakes were activated near 167 St.,167 St,brake
11/24/22 11:13 PM,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we remove a train car in need of cleaning from service at Clark St.,Clark St,remove a train
11/24/22 9:01 PM,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we get medical help for someone at 14 St-Union Sq.,14 St-Union Sq,medical help
11/24/22 7:59 PM,NYC,"MANH, R Train, Delays",Northbound R trains are delayed while we investigate a mechanical problem on a train at Rector St.,Rector St,mechanical problem
11/24/22 6:15 PM,NYC,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we get medical help for someone at Avenue J. If your stop is skipped, take a northbound train.",Avenue J,medical help
11/24/22 5:31 PM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we remove a train that needs cleaning from service at Newkirk Plaza.,Newkirk Plaza,remove a train
11/24/22 5:08 PM,NYC,"BKLYN, Q Train, Delays","Southbound Q running express from Prospect Park to Kings Hwy while we get medical help for someone at Parkside Av. If your stop is skipped, take a northbound train.",Parkside Av,medical help
11/24/22 4:47 PM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we investigate why a train's brakes activated at 96 St.,96 St,brake
11/24/22 3:01 PM,NYC,"MANH, A, C, and F Trains, Trains Rerouted","Northbound A/C trains running via the F from Jay St to W 4 St-Wash Sq. If your stop is skipped, take a southbound train. Expect delays in F service. We are removing a train with a door problem from service at Fulton St.",Fulton St,door
11/24/22 2:06 PM,NYC,"BKLYN, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we get medical help for someone at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,medical help
11/24/22 11:38 AM,NYC,"MANH, A Train, Delays",Northbound A trains are delayed while we investigate why a train's brakes were activated at 190 St.,190 St,brake
11/24/22 5:31 AM,NYC,"BX, 5 Train, Stations Skipped","5 trains have resumed service with delays in both directions after FDNY extinguished a track fire near Pelham Pkwy. While FDNY continues their investigation, 5 trains will bypass Pelham Pkwy in both directions. For service to/from Pelham Pkwy, use nearby stations.",Pelham Pkwy,fire
11/24/22 5:17 AM,NYC,"BKLYN, F Train, Delays",Southbound F trains are running with delays after we moved a train that had its brakes activated at Ditmas Av. Southbound F trains have resumed local service from Church Av to Kings Hwy.,Ditmas Av,brake
11/24/22 4:52 AM,NYC,"BKLYN, F Train, Delays","Southbound F trains are running on the express track from Church Av to Kings Hwy while we investigate why a train's brakes were activated at Ditmas Av. For service to/from bypassed stations, take a northbound train.",Ditmas Av,brake
11/24/22 4:35 AM,NYC,"BX, 5 Train, Delays",5 trains are delayed in both directions while FDNY responds to a track fire at Pelham Pkwy.,Pelham Pkwy,fire
11/24/22 3:53 AM,NYC,"BKLYN, F Train, Delays",Southbound F trains are delayed while we investigate why a train's brakes were activated at Ditmas Av.,Ditmas Av,brake
11/24/22 3:52 AM,NYC,"BKLYN, D, N, and Q Trains, Delays",Southbound D/N/Q trains are delayed while NYPD and EMS responds to a person in need of medical help at DeKalb Av.,DeKalb Av,EMS
11/24/22 3:38 AM,NYC,"BKLYN, J Train, Stations Skipped","J trains are bypassing Norwood Av in both directions while NYPD conducts an investigation at that station. For continued service, use nearby stations.",that station,investigation
11/24/22 1:41 AM,NYC,"MANH, 4 and 6 Trains, Delays",Northbound 4/6 trains are running with delays after EMS assisted a person in need of medical help at 59 St.,59 St,EMS
11/24/22 1:18 AM,NYC,"QNS, 7 Train, Delays",Main St-bound 7 trains are delayed while NYPD and EMS responds to an injured passenger at 74 St-Broadway.,74 St-Broadway,EMS
11/24/22 12:41 AM,NYC,"BKLYN, Q Train, Multiple Changes","Southbound Q trains are running on the express track from Prospect Park to Kings Hwy. Southbound Q trains are bypassing Kings Hwy. We're troubleshooting a mechanical problem aboard a train at Kings Hwy. For service to/from bypassed stations, take a northbound train.",Kings Hwy,mechanical problem
11/24/22 12:24 AM,NYC,"BKLYN, R Train, Delays",Northbound R trains are delayed while we investigate why a train's brakes were activated near Bay Ridge Av.,Bay Ridge Av,brake
11/24/22 12:19 AM,NYC,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we troubleshoot a mechanical problem aboard a train at Kings Hwy. For service to/from bypassed stations, take a northbound train.",Kings Hwy,mechanical problem
11/23/22 11:16 PM,NYC,"MANH, F Train, Delays",Northbound F trains are running with delays after we removed a train with a mechanical problem from service at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,mechanical problem
11/23/22 10:30 PM,NYC,"MANH, 1, 2, and 3 Trains, Delays",Southbound 1/2/3 trains are running with delays after we got medical help at 96 St. 2/3 trains have resumed making express stops from 96 St to 72 St.,96 St,medical help
11/23/22 10:29 PM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we troubleshoot a door malfunction at Avenue J.,Avenue J,door
11/23/22 10:08 PM,NYC,"MANH, 2 and 3 Trains, Express to Local",Southbound 2/3 trains are running on the local track from 96 St to 72 St while we request EMS for a person in need of medical help at 96 St. Expect delays in southbound 1 trains while they share the track with rerouted trains.,96 St,EMS
11/23/22 9:45 PM,NYC,"MANH, F Train, Delays",Northbound F trains are delayed while we remove a train with a mechanical problem from service at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,remove a train
11/23/22 9:25 PM,NYC,"BKLYN, D Train, Delays",Northbound D trains are delayed while we remove a train car in need of cleaning from service at 62 St.,62 St,remove a train
11/23/22 9:03 PM,NYC,"MANH, 1, 2, and 3 Trains, Delays",Northbound 1/2/3 trains are running with delays after removed a train with a mechanical problem from service at 50 St. Northbound 1 trains have resumed making local stops.,50 St,mechanical problem
11/23/22 8:51 PM,NYC,"QNS, E and F Trains, Express to Local",Northbound E/F trains are running local from Jackson Hts-Roosevelt Av to Forest Hills-71 Av. NYPD is responding to passengers being disruptive at Forest Hills-71 Av.,Forest Hills-71 Av,disruptive
11/23/22 8:39 PM,NYC,"MANH, 1, 2, and 3 Trains, Local to Express","Northbound 1 trains are running express at from Times Sq-42 St to 72 St. Expect delays in 2/3 service. If your stop is skipped, take a southbound train. We are addressing a mechanical problem on a train at 50 St.",from Times Sq-42 St to 72 St,mechanical problem
11/23/22 8:19 PM,NYC,"QNS, A Train, Delays",Southbound A trains are delayed while NYPD responds to a passenger being disruptive at Howard Beach-JFK Airport.,Howard Beach-JFK Airport,disruptive
11/23/22 7:40 PM,NYC,"MANH, N and Q Trains, Multiple Changes",Southbound N/Q/R/W trains are delayed while EMS responds to someone in need at 14 St-Union Sq. Southbound N/Q trains are running on the local track from 34 St-Herald Sq to Canal St.,14 St-Union Sq,EMS
11/23/22 7:37 PM,NYC,"MANH, C Train, Delays",Southbound C trains are delayed while we investigate why a trains brakes activated at 168 St.,168 St,brake
11/23/22 7:31 PM,NYC,"BKLYN, F and G Trains, Local to Express","Stillwell-bound F and Church Av-bound G trains are running express from Smith-9 Sts to Church Av. If your stop is skipped, take a Court Sq-bound G or Jamaica-179 St-bound F train. Trains are delayed while we investigate why a train's brakes activated near Church Av.",Church Av,brake
11/23/22 7:07 PM,NYC,"BKLYN, MANH, L Train, Delays",8 Av-bound L trains are delayed while we work to correct a mechanical problem on a train at Wilson Av.,Wilson Av,mechanical problem
11/23/22 6:55 PM,NYC,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while NYPD conducts an investigation at 36 St.,36 St,investigation
11/23/22 6:47 PM,NYC,"BKLYN, R Train, Delays",Northbound R trains are delayed while NYPD responds to someone being disruptive on a train at 4 Av-9 St.,4 Av-9 St,disruptive
11/23/22 6:41 PM,NYC,"MANH, 42 St S Train, Delays",S trains are delayed while NYPD responds to people being disruptive at Times Sq-42 St.,Times Sq-42 St,disruptive
11/23/22 6:31 PM,NYC,"BKLYN, MANH, L Train, Delays",8 Av-bound L trains are delayed while we investigate what caused a train's brakes to activate at Wilson Av.,Wilson Av,brake
11/23/22 6:30 PM,NYC,"BKLYN, 3 Train, Delays",3 trains are delayed entering and leaving New Lots Av while we request NYPD assistance with a person being disruptive on a train at that station.,New Lots Av while we request NYPD assistance with a person being disruptive on a train at that station,disruptive
11/23/22 5:46 PM,NYC,"BKLYN, A Train, Express to Local",Southbound A are running local from Hoyt-Schermerhorn Sts to Euclid Av. NYPD is responding to a passenger being disruptive at Utica Av. Southbound A trains will arrive on the lower level at Nostrand Av.,Utica Av,disruptive
11/23/22 5:44 PM,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes","Southbound R/W trains are running express from 34 St-Herald Sq to Canal St Expect delays in N/Q service. Trains are delayed while we work to correct a mechanical problem on a train at 14 St-Union Sq. If your stop is skipped, take a northbound train.",14 St-Union Sq,mechanical problem
11/23/22 5:32 PM,NYC,"MANH, 1 Train, Slow Speeds",Southbound 1 trains are running at slower speeds near 18 St while we address a signal problem in the area.,slower speeds near 18 St while we address a signal problem in the area,signal
11/23/22 5:04 PM,NYC,"BX, 2 Train, Delays",2 trains are delayed in both directions while we investigate what caused a train's brakes to activate near Wakefield-241 St.,Wakefield-241 St,brake
11/23/22 5:03 PM,NYC,"QNS, N and W Trains, Local to Express","Southbound N/W trains are express from Astoria Blvd to Queensboro Plaza. If your stop is skipped, take a northbound train. We are removing a train car that needs cleaning from service at Broadway.",Broadway,cleaning
11/23/22 5:00 PM,NYC,"MANH, 1, 2, and 3 Trains, Delays",Southbound 1/2/3 trains are running with delays after we moved a train that had its brakes activated near 18 St. Southbound 1 trains have resumed making local stops from 34 St-Penn Station to Chambers St.,18 St,brake
11/23/22 4:35 PM,NYC,"MANH, 1, 2, and 3 Trains, Multiple Changes","Southbound 1 trains are running express from 34 St-Penn Station to Chambers St while we investigate what caused a train's brakes to activate near 18 St. For service to/from bypassed stations, take a northbound 1 train. At 34 St-Penn Station, southbound 1 trains will arrive on the center 2/3 platform. You may wait longer for a southbound 2/3 train while they share the track with rerouted trains.",18 St,brake
11/23/22 3:51 PM,NYC,"BX, 2 Train, Delays",Southbound 2 trains are delayed while we investigate what caused a train's brakes to activate at Gun Hill Rd.,Gun Hill Rd,brake
