index,date,agency,subject,message,station,cause
764,11/23/22 15:03,NYC,"MANH, 4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while we remove a train car in need of cleaning from service at Wall St.,Wall St,cleaning
767,11/23/22 14:28,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while EMS responds to someone in need of medical help at 59 St.,59 St,EMS
769,11/23/22 13:59,NYC,"BKLYN, D and N Trains, Express to Local",Southbound D trains run local from Atlantic Av-Barclays Ctr to 36 St. Southbound N trains run local from Atlantic Av-Barclays Ctr to 59 St. We're investigating the cause of a train's brakes activating at 25 St on the express track.,25 St,brake
770,11/23/22 13:55,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are running with delays after we removed a train with a mechanical problem from service at Houston St.,Houston St,mechanical problem
786,11/23/22 13:17,NYC,"MANH, R Train, Delays",Southbound R trains are running with delays after we removed a train with a door problem from service at Whitehall St-South Ferry.,Whitehall St-South Ferry,door
794,11/23/22 12:59,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while EMS responds to someone in need of medical help at 14 St.,14 St,EMS
795,11/23/22 11:39,NYC,"BX, 6 Train, Delays",6 trains are getting back on schedule after we addressed a signal problem at Pelham Bay Park.,Pelham Bay Park,signal
797,11/23/22 11:20,NYC,"MANH, E Train, Delays",Southbound E trains are delayed while we remove a train with a mechanical problem from service at 50 St.,50 St,mechanical problem
799,11/23/22 10:34,NYC,"BX, 6 Train, Delays",6 trains are delayed in both directions while we address a signal malfunction at Pelham Bay Park.,Pelham Bay Park,signal
800,11/23/22 10:26,NYC,"QNS, J Train, Delays",Broad St-bound J trains are running with delays after NYPD responded to someone who was being disruptive on a train at 104 St.,104 St,disruptive
802,11/23/22 8:36,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are running with delays after we requested NYPD assistance for someone being disruptive on a train at Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr,disruptive
803,11/23/22 8:12,NYC,"QNS, M and R Trains, Delays",Southbound R and Metropolitan Ave-bound M trains are running with delays after we removed a train with a door problem from service at Forest Hills-71 Av.,Forest Hills-71 Av,door
806,11/23/22 6:49,NYC,"BX, BKLYN, 2 and 5 Trains, Trains Rerouted",Southbound 5 trains are running on the 2 line from 149 St-Grand Concourse to Nevins St. We're investigating why a train's brakes were activated at Borough Hall.,Borough Hall,brake
809,11/23/22 5:38,NYC,"MANH, 4 and 6 Trains, Delays",Northbound 4/6 trains are running with delays after we concluded an investigation at 14 St-Union Sq.,14 St-Union Sq,na
816,11/23/22 2:47,NYC,"BX, 4 Train, Delays",Southbound 4 trains are delayed while we remove a vandalized train from service at 149 St-Grand Concourse.,149 St-Grand Concourse,vandalized
817,11/23/22 2:21,NYC,"BKLYN, F and G Trains, Local to Express","Southbound F/G trains are running express from Smith-9 Sts to Church Av. Our crews are replacing rails near 7 Av. For service to/from bypassed stations, take a northbound train.",7 Av,rail
820,11/23/22 1:41,NYC,"BKLYN, 2 Train, Delays",Northbound 2 trains are delayed while emergency teams respond to a person struck by a train at Church Av.,Church Av,person struck
824,11/23/22 1:00,NYC,"BX, D Train, Local to Express","Northbound D trains are running express from 161 St-Yankee Stadium to Fordham Rd. EMS is responding to someone in need of medical help at 174-175 Sts. For service to/from bypassed stations, take a southbound train.",174-175 Sts,EMS
825,11/23/22 0:29,NYC,"MANH, N and R Trains, Delays",Northbound N/R trains are delayed while we request NYPD assistance for a person being disruptive at Whitehall St-South Ferry. Some northbound R trains will end at Court St.,Whitehall St-South Ferry,disruptive
828,11/22/22 23:20,NYC,"BX, D Train, Delays",Southbound D trains are delayed while we investigate why a train's brakes were activated at Bedford Park Blvd.,Bedford Park Blvd,brake
829,11/22/22 23:15,NYC,"BX, D Train, Delays",Southbound D trains are delayed while we conduct an investigation at Kingsbridge Rd.,Kingsbridge Rd,na
834,11/22/22 22:44,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train in need of cleaning from service at 59 St.,59 St,cleaning
836,11/22/22 22:27,NYC,"MANH, L Train, Delays",L trains are delayed in both directions while we get medical help for someone at 14 St-Union Sq.,14 St-Union Sq,medical help
838,11/22/22 22:11,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while NYPD conducts an investigation at Broadway-Lafayette St.,Broadway-Lafayette St,investigation
839,11/22/22 21:12,NYC,"QNS, R Train, Delays",Southbound R trains are running with delays after our crews removed debris from the track at Grand Av-Newtown.,Grand Av-Newtown,debris
841,11/22/22 20:39,NYC,"BKLYN, MANH, L Train, Delays",Canarsie-Rockaway Pkwy-bound L trains are delayed while we investigate why a train's brakes were activated at 1 Av.,1 Av,brake
843,11/22/22 18:51,NYC,"BKLYN, 4 and 5 Trains, Express to Local",Southbound 4/5 trains are running local from Atlantic Av-Barclays Ctr to Franklin Av-Medgar Evers College. We are removing a train with a mechanical problem from service at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,mechanical problem
847,11/22/22 18:41,NYC,"MANH, J and M Trains, Delays",71 Av-bound M and Broad St-bound J trains are delayed while we request EMS assistance for someone in need on a train at Delancey St-Essex St.,Delancey St-Essex St,EMS
848,11/22/22 18:40,NYC,"BKLYN, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after NYPD completed an investigation at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,investigation
849,11/22/22 18:36,NYC,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we request EMS assistance for someone in need on a train at Broadway-Lafayette St.,Broadway-Lafayette St,EMS
851,11/22/22 18:21,NYC,"MANH, 4, 5, and 6 Trains, Local to Express",Northbound 6 trains are express from 14 St-Union Sq to Grand Central-42 St. Expect delays in 4/5 service. We are working to correct a door problem on a train at 28 St.,28 St,door
855,11/22/22 17:23,NYC,"BKLYN, B Train, Delays",Southbound B trains are delayed while we address a signal problem near Church Av.,Church Av,signal
857,11/22/22 17:03,NYC,"QNS, M and R Trains, Delays",Middle Village-bound M and Bay Ridge-bound R trains are delayed while we investigate a report of a person being disruptive at Woodhaven Blvd.,Woodhaven Blvd,disruptive
858,11/22/22 16:50,NYC,"BKLYN, 4 Train, Delays",Northbound 4 trains are running with delays after we investigated a report of people being disruptive on a train at Crown Hts-Utica Av.,Crown Hts-Utica Av,disruptive
859,11/22/22 16:34,NYC,"BKLYN, Franklin Av S Train, Delays",FS trains are running with delays in both directions after we removed a train with a mechanical problem from service at Franklin Av.,Franklin Av,mechanical problem
861,11/22/22 15:59,NYC,"MANH, A, B, and D Trains, Delays",Northbound A/B/D trains are running with delays after we addressed a switch problem near 59 St-Columbus Circle. Trains have resumed arriving on their designated track.,59 St-Columbus Circle,switch
862,11/22/22 15:47,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are running with delays after we requested EMS assistance for a person in need at Nostrand Av.,Nostrand Av,EMS
864,11/22/22 14:55,NYC,"MANH, E, F, and M Trains, Delays",Jamaica-bound E/F and 71 Av-bound M trains are delayed while we request EMS assistance for a person in at 5 Av/53 St.,5 Av/53 St,EMS
865,11/22/22 14:50,NYC,"MANH, A, B, and D Trains, Multiple Changes",Board northbound B trains on the express track at 59 St-Columbus Circle. Expect delays in A/B/D service while trains share tracks. What's Happening? We're addressing a switch problem near 59 St-Columbus Circle.,59 St-Columbus Circle,switch
867,11/22/22 14:22,NYC,"BX, 6 Train, Delays",Southbound 6 trains are delayed while we request NYPD for a person being disruptive at Hunts Point Av.,Hunts Point Av,disruptive
868,11/22/22 14:12,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes",Southbound N trains are running on the local track from 34 St-Herald Sq to Canal St. W service is suspended. What's Happening? We're repairing a rail near 34 St-Herald Sq. Additional Service Updates Q trains are running with delays in both directions. Q trains have resumed making regular stops. Expect delays in N/R service while trains share tracks.,34 St-Herald Sq,rail
871,11/22/22 13:46,NYC,"MANH, B and C Trains, Local to Express",Southbound B/C trains are running on the express track from 125 St to 59 St while we remove a train with a door problem from service at 125 St.,125 St,door
875,11/22/22 13:18,NYC,"BX, 6 Train, Delays",Southbound 6 trains are delayed while we remove a train that needs cleaning from service at Hunts Point Av.,Hunts Point Av,cleaning
876,11/22/22 12:49,NYC,"BKLYN, F Train, Delays",F trains are running with delays in both directions after we requested NYPD assistance with people being disruptive at Avenue X.,Avenue X,disruptive
878,11/22/22 12:29,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes","Southbound N/Q trains are disrupted in Manhattan while we repair a rail at 34 St-Herald Sq. W service is suspended the entire line. Southbound Q trains are running on the F line from Lexington Av/63 St to 42 St-Bryant Pk, then along the B line DeKalb Av. Southbound N trains are running on the local track from 34 St-Herald Sq to Canal St. Southbound R trains are delayed while they share the same track with rerouted N trains.",34 St-Herald Sq,rail
879,11/22/22 12:16,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes","Southbound N/Q trains are running express from 34 St-Herald Sq to Canal St. Southbound R/W trains are delayed while they share the same track with rerouted trains. Some southbound R trains are running on the F line from 36 St to 42 St-Bryant Pk, then along the B line to DeKalb Av. We're repairing a rail at 34 St-Herald Sq.",34 St-Herald Sq,rail
880,11/22/22 12:13,NYC,"BX, 4 Train, Delays",Northbound 4 trains are running with delays after we requested NYPD assistance for someone being disruptive on a train at Burnside Av.,Burnside Av,disruptive
881,11/22/22 12:13,NYC,"QNS, J Train, Delays",J trains are delayed in both directions while EMS responds to someone in need of medical help at Sutphin Blvd-Archer Av-JFK Airport.,Sutphin Blvd-Archer Av-JFK Airport,EMS
885,11/22/22 11:58,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are running with delays after we requested EMS for someone in need of assistance on a train at Grand Central-42 St.,Grand Central-42 St,EMS
886,11/22/22 11:54,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes","Southbound N/Q trains are running on the local track from 34 St-Herald Sq to Canal St. We're investigating the cause of a train's brakes activating at 34 St-Herald Sq. Southbound R/W trains are delayed while they share the same track with rerouted trains. Some southbound R trains are running on the F line from 36 St to 42 St-Bryant Pk, then along the B line to DeKalb Av.",34 St-Herald Sq,brake
887,11/22/22 11:47,NYC,"MANH, N, Q, R, and W Trains, Multiple Changes",Southbound N/Q trains are running on the local track from 34 St-Herald Sq to Canal St. We're investigating the cause of a train's brakes activating at 34 St-Herald Sq. Southbound R/W trains are delayed while they share the same track with rerouted trains.,34 St-Herald Sq,brake
888,11/22/22 11:44,NYC,"BKLYN, 2 Train, Delays",Northbound 2 trains are running with delays after we removed a train with a mechanical problem from service at Flatbush Av-Brooklyn College.,Flatbush Av-Brooklyn College,mechanical problem
890,11/22/22 10:43,NYC,"BKLYN, F and G Trains, Local to Express",Northbound F/G trains are running express from Church Av to Smith-9 Sts while our trash collection train works between those stations.,na,trash
893,11/22/22 9:34,NYC,"MANH, 2 and 3 Trains, Express to Local",Southbound 2/3 trains are running local from 72 St to Times Sq-42 St while NYPD responds to individuals being disruptive on a train at 72 St. Expect delays in southbound 1 service while they share the track with rerouted trains.,72 St,disruptive
894,11/22/22 9:23,NYC,"BKLYN, QNS, G Train, Delays",Court Sq-bound G trains are running with delays after EMS responded to someone in need at Broadway.,Broadway,EMS
896,11/22/22 9:14,NYC,"MANH, 1 Train, Delays",1 trains are running with delays in both directions while FDNY responds to reports of a track fire near South Ferry.,South Ferry,fire
897,11/22/22 9:02,NYC,"QNS, N and W Trains, Delays",Southbound N/W trains are running with delays after NYPD removed someone who was being disruptive on a train at Queensboro Plaza.,Queensboro Plaza,disruptive
899,11/22/22 8:20,NYC,"BX, 2 Train, Delays",Southbound 2 trains are delayed while we remove a train with a door problem from service at Bronx Park East.,Bronx Park East,door
900,11/22/22 7:43,NYC,"BKLYN, MANH, L Train, Delays",8 Av-bound L trains are running with delays after we addressed a mechanical problem on a train at Bushwick Av-Aberdeen St.,Bushwick Av-Aberdeen St,mechanical problem
901,11/22/22 7:35,NYC,"BKLYN, M and R Trains, Delays",Bay Ridge-95 St-bound R and Metropolitan Ave-bound M trains are running with delays after EMS assisted someone in need on a train at Roosevelt Ave.,Roosevelt Ave,EMS
903,11/22/22 7:19,NYC,"MANH, A Train, Express to Local",Southbound A trains are running on the local track from 168 St to 145 St. We are requesting NYPD assistance for someone being disruptive on a train at 145 St.,145 St,disruptive
905,11/22/22 6:16,NYC,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we remove a train car in need of cleaning from service at 3 Av-149 St.,3 Av-149 St,cleaning
909,11/22/22 4:41,NYC,"MANH, 4 and 6 Trains, Delays",Northbound 4/6 trains are delayed while we request NYPD assistance for an unauthorized person on the tracks at 96 St.,96 St,unauthorized person
911,11/22/22 4:19,NYC,"MANH, 1 and 2 Trains, Delays",Northbound 1/2 trains are delayed while we request NYPD and EMS assistance for someone in need at 14 St.,14 St,EMS
915,11/22/22 2:24,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we replace rails near 157 St.,157 St,replace rails
917,11/22/22 1:37,NYC,"MANH, A Train, Local to Express","Southbound A trains are running express from 125 St to 59 St-Columbus Circle while our crews replace rails near 59 St-Columbus Circle. For service to/from bypassed stations, take a northbound train. Expect delays on southbound D service as they share a track with rerouted trains.",59 St-Columbus Circle,replace rails
919,11/22/22 0:40,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we conduct an investigation at 86 St.,86 St,na
921,11/21/22 22:55,NYC,"QNS, E and F Trains, Delays",Northbound E/F trains are delayed while NYPD responds to a customer altercation at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,customer altercation
924,11/21/22 21:36,NYC,"QNS, A Train, Delays",Far Rockaway-bound A trains are delayed while we investigate why a train's brakes activated near Aqueduct-N Conduit Av.,Aqueduct-N Conduit Av,brake
925,11/21/22 21:33,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are running with delays after we addressed a mechanical problem on a train at Spring St.,Spring St,mechanical problem
926,11/21/22 21:17,NYC,"BKLYN, B and Q Trains, Multiple Changes",Southbound B trains are running local from Prospect Park to Kings Hwy while we investigate why a train's brakes activated at Newkirk Plaza. Expect B/Q delays.,Newkirk Plaza,brake
929,11/21/22 20:50,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while EMS responds to a customer in need at 135 St. Some southbound 2 trains are running via 5 from 149 St-Grand Concourse to Nevins St.,135 St,EMS
930,11/21/22 20:47,NYC,"3 and 4 Trains, Multiple Changes","3 Train are express from Atlantic Av to Utica Av. 4 trains are delayed in both directions. Some southbound 4 trains will run via 3 to New Lots Av. What's Happening? EMS is responding to a customer in need at Crown Hts-Utica Av. For service to/from bypassed stops, take a northbound train.",Crown Hts-Utica Av,EMS
933,11/21/22 20:18,NYC,"BKLYN, A Train, Delays",Southbound A trains are delayed while we address a switch problem at Euclid Av.,Euclid Av,switch
939,11/21/22 19:36,NYC,"MANH, R and W Trains, Delays",R/W trains are delayed in both directions while we address a mechanical problem on a train at Whitehall St-South Ferry.,Whitehall St-South Ferry,mechanical problem
940,11/21/22 19:25,NYC,"BKLYN, A and C Trains, Multiple Changes","Northbound C trains are running express from Broadway Junction to Hoyt-Schermerhorn Sts. Expect delays in A/C service. What's Happening? We're investigating why a train's brakes activated at Utica Av. If your stop is skipped, take a southbound train.",Utica Av,brake
941,11/21/22 19:08,NYC,"2 and 5 Trains, Multiple Changes","Southbound 2 trains are express from Gun Hill Rd to E180 St. Southbound 5 trains are delayed. We are investigating a switch problem near E180 St. For service to/from bypassed stops, take a northbound train.",E 180 St,switch
943,11/21/22 18:49,NYC,"BX, 6 Train, Delays","Northbound 6 trains are running express from 3 Av-138 St to Parkchester while we look into why a train's brakes activated near Hunts Point Av. For service to/from bypassed stations, take a southbound train.",Hunts Point Av,brake
944,11/21/22 18:23,NYC,"4, 5, and 6 Trains, Delays",Northbound 4/5/6 trains are running with delays after we conducted an investigation at 59 St.,59 St,na
945,11/21/22 18:14,NYC,"4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while we conduct an investigation at 59 St.,59 St,na
947,11/21/22 17:49,NYC,"F and M Trains, Delays",Coney Island-bound F and Middle Village-bound M trains are running with delays after we removed a train with a door problem from service at 34 St-Herald Sq.,34 St-Herald Sq,door
948,11/21/22 17:41,NYC,"MANH, A Train, Delays",Northbound A trains are running with delays after we removed a train with a mechanical problem from service at Chambers St.,Chambers St,mechanical problem
949,11/21/22 17:22,NYC,"MANH, 6 Train, Delays",Southbound 6 trains are running with delays after we requested NYPD assistance with a person being disruptive on a train at 125 St.,125 St,disruptive
956,11/21/22 16:45,NYC,"MANH, A and C Trains, Delays",Northbound A/C trains are delayed while we remove a train in need of cleaning from service at Chambers St.,Chambers St,cleaning
957,11/21/22 16:44,NYC,"BKLYN, B and Q Trains, Delays",Southbound B/Q trains are delayed while we investigate why a train's brakes activated at Kings Hwy.,Kings Hwy,brake
958,11/21/22 16:43,NYC,"QNS, M and R Trains, Delays",M/R trains are delayed in both directions while we investigate why a train's brakes activated at Forest Hills-71 Av.,Forest Hills-71 Av,brake
960,11/21/22 16:39,NYC,"MANH, A Train, Delays",Southbound A trains are delayed while we remove a train car in need of cleaning from service at 190 St.,190 St,cleaning
961,11/21/22 16:07,NYC,"BKLYN, B and Q Trains, Slow Speeds",Northbound B/Q trains are running at slower speeds while we address a signal problem near 7 Av.,7 Av,signal
964,11/21/22 15:52,NYC,"BKLYN, MANH, J Train, Delays",Broad St-bound J trains are delayed while we request EMS assistance for a customer in need at Crescent St.,Crescent St,EMS
965,11/21/22 15:40,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we address a mechanical problem on a train at 96 St.,96 St,mechanical problem
968,11/21/22 15:18,NYC,"QNS, E and F Trains, Delays",Southbound E/F trains are delayed while we remove a train car from service at Forest Hills-71 Av.,Forest Hills-71 Av,na
970,11/21/22 15:13,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we remove a train car in need of cleaning from service at 14 St.,14 St,cleaning
972,11/21/22 15:11,NYC,"MANH, J Train, Delays",J trains are delayed in both directions while we investigate why a train's brakes activated at Fulton St.,Fulton St,brake
973,11/21/22 15:09,NYC,"BKLYN, R Train, Delays",Southbound R trains are delayed while we address a door problem on a train at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,door
976,11/21/22 14:44,NYC,"BKLYN, A Train, Delays",Southbound A trains are delayed while we investigate why a train's brakes activated at Rockaway Av.,Rockaway Av,brake
979,11/21/22 14:35,NYC,"BKLYN, B and Q Trains, Delays",Northbound B/Q trains are delayed while we address a signal problem near 7 Av.,7 Av,signal
980,11/21/22 14:27,NYC,"BX, 6 Train, Local to Express","Northbound 6 trains are running express from 3 Av-138 St to Hunts Point Av while EMS responds to a customer in need at Cypress Av. For service to/from bypassed stops, take a southbound train.",Cypress Av,EMS
983,11/21/22 14:19,NYC,"BKLYN, QNS, G Train, Delays",Court Sq-bound G trains are delayed while we request EMS assistance for someone in need at Metropolitan Av.,Metropolitan Av,EMS
985,11/21/22 14:16,NYC,"MANH, F Train, Delays",Northbound F trains are delayed while we address a door problem on a train at 2 Av.,2 Av,door
988,11/21/22 14:08,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are running with delays after we moved a train that had its emergency brake cord pulled at WTC Cortlandt.,WTC Cortlandt,brake
990,11/21/22 13:55,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we request EMS for someone in need of assistance on a train at West Farms Sq-E Tremont Av.,West Farms Sq-E Tremont Av,EMS
992,11/21/22 13:50,NYC,"QNS, M and R Trains, Delays",Northbound M/R trains are delayed because of an NYPD investigation at Steinway St.,Steinway St,investigation
994,11/21/22 13:39,NYC,"MANH, B and C Trains, Delays",Northbound B/C trains are delayed while we request NYPD for a person being disruptive on a train at 86 St.,86 St,disruptive
996,11/21/22 13:20,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while NYPD conducts an investigation on a train at 3 Av-149 St.,3 Av-149 St,investigation
997,11/21/22 12:47,NYC,"QNS, A Train, Delays",Northbound A trains are running with delays after we addressed a switch problem near Broad Channel.,Broad Channel,switch
999,11/21/22 12:23,NYC,"BX, 4 Train, Delays",Southbound 4 trains are delayed while we investigate what caused a train's brakes to activate at Kingsbridge Rd.,Kingsbridge Rd,brake
1002,11/21/22 11:45,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we investigate what caused a train's brakes to activate near Central Park North (110 St).,Central Park North (110 St),brake
1005,11/21/22 11:27,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we request NYPD assistance for someone being disruptive on a train at 3 Av-149 St.,3 Av-149 St,disruptive
1006,11/21/22 11:20,NYC,"BKLYN, B Train, Delays",B trains are running with delays in both directions while our crews address a switch problem at Brighton Beach.,Brighton Beach,switch
1009,11/21/22 11:03,NYC,"BKLYN, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate what caused a train's brakes to activate at President St-Medgar Evers College.,President St-Medgar Evers College,brake
1010,11/21/22 11:03,NYC,"MANH, N and Q Trains, Delays",Northbound N/Q trains are delayed while NYPD responds to someone who is being disruptive on a train at 14 St-Union Sq.,14 St-Union Sq,disruptive
1011,11/21/22 11:03,NYC,"BKLYN, F Train, Delays",You may wait longer for a northbound F train after we addressed a switch problem near Church Av.,Church Av,switch
1012,11/21/22 10:07,NYC,"MANH, A, B, C, and D Trains, Delays",A/B/C/D trains are running with delays in both directions after we addressed a switch problem near 59 St-Columbus Circle.,59 St-Columbus Circle,switch
1015,11/21/22 9:36,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we removed a train with a mechanical problem from service at Grand Central-42 St. Southbound 4/5 trains have resumed running on the express track from 125 St to Brooklyn Bridge-City Hall. Southbound 5 trains have resumed running regular service from 149 St-Grand Concourse to Nevins St.,Grand Central-42 St,mechanical problem
1018,11/21/22 9:33,NYC,"MANH, R and W Trains, Delays",Southbound R/W trains are delayed while we remove a train with an injured crew member from service at Canal St.,Canal St,injured
1020,11/21/22 9:32,NYC,"BKLYN, L Train, Delays",8 Av-bound L trains are delayed while we remove a train with a mechanical problem from service at Jefferson St.,Jefferson St,mechanical problem
1022,11/21/22 9:27,NYC,"BX, 2 and 5 Trains, Local to Express","Southbound 2/5 trains are running on the express track from E 180 St to 3 Av-149 St while we investigate why a train's brakes were activated at 174 St. For service to/from missed stops, take a northbound train.",174 St,brake
1024,11/21/22 9:17,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while NYPD conducts an investigation at 86 St.,86 St,investigation
1027,11/21/22 9:03,NYC,"MANH, A, B, C, and D Trains, Delays",A/B/C/D trains are running with extensive delays in both directions after we addressed a switch problem near 59 St-Columbus Circle. Southbound D trains have resumed express service from 125 St to 59 St-Columbus Circle. Continue to take 1/2/3/4 trains or M7/M10 buses as an alternative to avoid residual congestion.,59 St-Columbus Circle,switch
1031,11/21/22 8:51,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we remove a train with a mechanical problem from service at 59 St.,59 St,mechanical problem
1032,11/21/22 8:44,NYC,"MANH, L Train, Delays",L trains are delayed in both directions while we request NYPD assistance for someone being disruptive at 8 Av.,8 Av,disruptive
1034,11/21/22 8:26,NYC,"A, B, C, and D Trains, Multiple Changes","Southbound A/B/C/D trains are running with extensive delays in Manhattan. Avoid these lines and take 1/2/3/4 trains or M7/M10 buses. Southbound D trains are running local from 125 St to 59 St-Columbus Circle. What's Happening? Our crews are on the scene at 59 St-Columbus Circle addressing a switch problem. Alternatives: For service from Upper Manhattan, transfer to 1 trains at 168 St. For service from the Bronx, take nearby 4 trains or transfer at 161 St-Yankee Stadium. For service along Central Park W, walk to 1/2/3 trains or take M7/M10 buses.",59 St-Columbus Circle,switch
1037,11/21/22 8:12,NYC,"MANH, N and Q Trains, Some Delays",Southbound N/Q trains are running with delays after we moved a train with a mechanical problem from 34 St-Herald Sq. Southbound N/Q trains have resumed express service from 34 St-Herald Sq to Canal St.,34 St-Herald Sq,mechanical problem
1041,11/21/22 8:05,NYC,"MANH, A, B, C, and D Trains, Multiple Changes","Southbound A/B/C/D trains are running with extensive delays. Southbound C trains are running express from 125 St to 59 St-Columbus Circle. Southbound D trains are running local from 125 St to 59 St-Columbus Circle. In that area, take B/D trains for southbound local service and A/C trains for southbound express service. What's Happening? Our crews are on the scene at 59 St-Columbus Circle addressing a switch problem.",59 St-Columbus Circle,switch
1042,11/21/22 8:05,NYC,"MANH, QNS, F and M Trains, Delays",Northbound F and Forest Hills-71 Av-bound M trains are running with delays after we moved a train that had it's brakes activated at 42 St-Bryant Pk.,42 St-Bryant Pk,brake
1043,11/21/22 8:03,NYC,"MANH, A Train, Express to Local","Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St. We are requesting EMS for someone in need of medical assistance on a train at 42 St-Port Authority Bus Terminal. For service to/from bypassed stops while rerouted via the southbound express track, take a northbound train. You may wait longer for a B train.",42 St-Port Authority Bus Terminal,EMS
1044,11/21/22 7:55,NYC,"MANH, N, R, and W Trains, Delays",Southbound N/R/W trains are delayed while we remove a vandalized train from service at 57 St-7 Av.,57 St-7 Av,vandalized
1045,11/21/22 7:50,NYC,"QNS, 7 Train, Delays",7 trains are delayed in both directions while we investigate why a train's brakes were activated at Flushing-Main St.,Flushing-Main St,brake
1048,11/21/22 7:37,NYC,"MANH, A, B, C, and D Trains, Delays",Southbound A/B/C/D trains are running with delays while we address a switch problem at 59 St-Columbus Circle. Southbound D trains will arrive on the local track at that station.,59 St-Columbus Circle,switch
1050,11/21/22 7:29,NYC,"BKLYN, 3 Train, Delays",Northbound 3 trains are delayed while we request EMS for a person in need at Bergen St.,Bergen St,EMS
1053,11/21/22 7:11,NYC,"BKLYN, MANH, A Train, Delays",Inwood-207 St-bound A trains are running with delays after we addressed a door problem on a train at Broadway Junction.,Broadway Junction,door
1057,11/21/22 6:47,NYC,"QNS, N and W Trains, Delays",Southbound N/W trains are delayed while we remove a train with a mechanical problem from service at Broadway.,Broadway,mechanical problem
1058,11/21/22 6:45,NYC,"BX, 2 and 5 Trains, Local to Express","Southbound 2/5 trains are running on the express track from Gun Hill Rd to E 180 St. We are addressing a mechanical problem on a train at Gun Hill Rd. For service to/from bypassed stations, take a northbound train.",Gun Hill Rd,mechanical problem
1061,11/21/22 6:36,NYC,"BX, 2 Train, Delays",Southbound 2 trains are delayed while we remove a train with a mechanical problem from service at 233 St.,233 St,mechanical problem
1063,11/21/22 5:37,NYC,"BX, 6 Train, Delays",Northbound 6 trains are delayed while we address a mechanical problem on a train at Westchester Sq-E Tremont Av.,Westchester Sq-E Tremont Av,mechanical problem
1064,11/21/22 3:26,NYC,"BKLYN, F Train, Delays",Northbound F trains are running with delays after we addressed a door problem on a train at 7 Av.,7 Av,door
1066,11/21/22 2:56,NYC,"QNS, N and Q Trains, Delays",Southbound N/Q trains are delayed while we request NYPD assistance with people being disruptive on a train at 30 Av.,30 Av,disruptive
1069,11/21/22 2:14,NYC,"MANH, 3 Train, Delays",Northbound 3 trains are delayed while we remove a train car in need of cleaning from service near Times Sq-42 St.,Times Sq-42 St,cleaning
1071,11/21/22 2:07,NYC,"BX, MANH, 1 Train, Part Suspended","There is no northbound 1 service from 145 St to Van Cortlandt Park-242 St while we replace a rail at 168 St-Washington Hts. Some southbound 1 trains will end at Dyckman St and turn for northbound service. Travel Alternatives: As an alternative between 145 St and 168 St-Washington Hts, take nearby A service. As an alternative between 168 St-Washington Hts and 207 St, take an shuttle bus icon/A train shuttle bus running along Broadway. As an alternative between 207 St and Van Cortlandt Park-242 St, consider the Bx7 or Bx9 bus.",168 St-Washington Hts,rail
